latitude[deg],longitude[deg],elevation[m],cumulativedistance[km]
50.61327,5.59992,67.0,0.0
50.61335,5.59973,67.0,0.01612619748384558
50.61343,5.59978,67.0,0.025703422489181074
50.61345,5.59971,66.0,0.031225925730467195
50.61353,5.59966,66.0,0.0408031466018265
50.61362,5.59966,66.0,0.05081492834688915
50.61369,5.59977,66.0,0.06182650129959423
50.61369,5.5999,66.0,0.0710278641034393
50.61426,5.60012,66.0,0.13631981343708585
50.61473,5.60031,65.0,0.19031460281606832
50.61459,5.60092,65.0,0.23621235022929887
50.61437,5.6014,66.0,0.27809494156010794
50.61437,5.60158,66.0,0.29083510638519455
50.61434,5.60189,67.0,0.31305137312775927
50.61443,5.60194,66.0,0.3237172003379435
50.61449,5.60223,66.0,0.3453009203758972
50.61451,5.60245,67.0,0.3610620876374953
50.61444,5.60373,66.0,0.45199815465461723
50.61426,5.60645,65.0,0.645557362376035
50.61424,5.6067,65.0,0.6633913993594956
50.61422,5.60696,65.0,0.6819279136997791
50.61413,5.60751,66.0,0.7221356140236653
50.61399,5.60817,67.0,0.7713876891279328
50.61388,5.60852,68.0,0.7990359348291957
50.61367,5.6091,69.0,0.8462800850691082
50.61347,5.60961,70.0,0.8886951850348319
50.61315,5.61045,69.0,0.9579998205782608
50.61298,5.61075,69.0,0.986434361144513
50.61285,5.61094,70.0,1.0062079000918638
50.61255,5.61135,68.0,1.050478766993711
50.61219,5.61174,68.0,1.0991182729674833
50.61199,5.61192,69.0,1.124776005301591
50.61172,5.61214,67.0,1.1586672103261175
50.61165,5.61215,67.0,1.166486254686905
50.61161,5.61215,67.0,1.1709359346668906
50.61155,5.61212,67.0,1.1779401057080507
50.61153,5.61203,67.0,1.1846879012627387
50.61128,5.61188,67.0,1.214456249846427
50.6112,5.61217,67.0,1.236829536996258
50.61112,5.61234,67.0,1.2517960484187078
50.61097,5.61247,67.0,1.270851419010759
50.61077,5.61251,66.0,1.2933015343535044
50.6106,5.61251,66.0,1.3122126682171042
50.61017,5.61243,66.0,1.3603807342127325
50.60944,5.6122,67.0,1.4432093331372826
50.60947,5.61208,67.0,1.4523357196445073
50.60945,5.61207,67.0,1.4546704521939613
50.60943,5.61215,67.0,1.4607547115389619
50.60939,5.61214,67.0,1.4652603418627785
50.60913,5.61307,67.0,1.537165127019732
50.60909,5.61331,67.0,1.5547269718947399
50.6091,5.61402,67.0,1.6049977816537448
50.60888,5.61405,67.0,1.6295629727977485
50.60882,5.61425,67.0,1.6452148441962673
50.60889,5.61432,67.0,1.6544446480400934
50.60866,5.61444,67.0,1.68140352526985
50.60865,5.61457,67.0,1.6906728648665308
50.60858,5.61456,67.0,1.6984919092871102
50.60833,5.61449,68.0,1.7267580816533223
50.60802,5.61456,68.0,1.7615972717570965
50.60781,5.61457,68.0,1.7849688031013944
50.60753,5.6146,70.0,1.8162528593143201
50.6075,5.61448,70.0,1.8253795748182082
50.60741,5.61439,70.0,1.8372465705128673
50.60733,5.61463,71.0,1.8564517506905733
50.60682,5.61476,71.0,1.913926691775506
50.60636,5.61479,76.0,1.9653855579810477
50.60489,5.61479,92.0,2.129692449543842
50.60397,5.61481,102.0,2.232532583478988
50.60337,5.61479,111.0,2.299897035848151
50.60265,5.61481,115.0,2.380104052849385
50.6007,5.61485,140.0,2.598481848750341
50.6011,5.61506,135.0,2.645662959269136
50.60194,5.61497,126.0,2.73975541852676
50.6021,5.61497,125.0,2.7575823418501666
50.60242,5.615,124.0,2.7932573687878293
50.60299,5.6152,126.0,2.858258256203252
50.60397,5.61554,119.0,2.9701211398869094
50.60427,5.61573,112.0,3.006777289387674
50.60459,5.61577,110.0,3.0425433481331807
50.60569,5.61614,97.0,3.168355583787006
50.60527,5.6167,101.0,3.2297604311636086
50.60488,5.61734,118.0,3.2947527670529846
50.60489,5.6175,117.0,3.3061780680961026
50.60487,5.6176,117.0,3.3135987939963316
50.60436,5.61852,108.0,3.4004416407523466
50.60431,5.61856,108.0,3.4066831301506055
50.60419,5.61861,123.0,3.427072557617348
50.60391,5.61861,128.0,3.458619319973337
50.60289,5.62142,127.0,3.687642422561492
50.60308,5.62161,124.0,3.71287483420895
50.60262,5.62264,122.0,3.801981189935151
50.60262,5.62279,122.0,3.8126007315928496
50.60266,5.62358,117.0,3.868929351449045
50.60269,5.62391,116.0,3.8925506259612384
50.60273,5.62483,110.0,3.9581105529983494
50.60274,5.62539,102.0,3.998571029737681
50.6027,5.62584,100.0,4.030800842263298
50.60275,5.62614,91.0,4.054529096504801
50.60256,5.6264,103.0,4.085017693230041
50.6023,5.62665,105.0,4.118985414171842
50.60204,5.62644,110.0,4.151888069831086
50.60198,5.62655,109.0,4.162193345302298
50.60163,5.62693,104.0,4.209782301249181
50.60144,5.62704,104.0,4.2323074745579925
50.60129,5.62704,104.0,4.248993841783429
50.60114,5.62695,105.0,4.266883390555201
50.60083,5.62639,120.0,4.321529174257882
50.60074,5.62627,120.0,4.33465999234569
50.60064,5.62619,121.0,4.347183177667662
50.60046,5.62611,121.0,4.367992529967194
50.60047,5.62732,104.0,4.455338157893331
50.60049,5.62787,91.0,4.496451033727462
50.60017,5.62787,91.0,4.532048538177938
50.60007,5.62794,94.0,4.544590887026766
50.59994,5.62811,93.0,4.563432391167238
50.59947,5.62893,83.0,4.642199039895406
50.59896,5.62997,78.0,4.735288223979413
50.59879,5.63025,74.0,4.76297656847605
