latitude[deg],longitude[deg],elevation[m],cumulativedistance[km]
51.15588,2.71667,2.0,0.0
51.15577,2.71703,2.0,0.02800207427015753
51.15553,2.7177,2.0,0.08194801866621328
51.15512,2.71858,2.0,0.15857115260140814
51.15389,2.72084,2.0,0.3676803325876383
51.15326,2.72195,2.0,0.47229268657937334
51.15321,2.72198,2.0,0.47823809183351323
51.15301,2.72198,2.0,0.5004883402448859
51.15296,2.72202,2.0,0.5067152669591706
51.1529,2.72223,3.0,0.5228844047579673
51.15283,2.72228,3.0,0.5314216704165977
51.15277,2.72238,3.0,0.5410917422351696
51.15254,2.72277,6.0,0.5786194036302418
51.15253,2.72277,6.0,0.5797319166398546
51.15253,2.72277,6.0,0.5797319166398546
51.15179,2.72401,10.0,0.6994018889090364
51.15147,2.72459,11.0,0.7533952154031277
51.15129,2.72492,10.0,0.783975433531395
51.15067,2.726,7.0,0.8863330273662234
51.14973,2.72764,2.0,1.0416689047487748
51.1494,2.72819,1.0,1.0948656198479032
51.14904,2.7288,2.0,1.1534052017093175
51.14861,2.72953,3.0,1.2233956501995593
51.14851,2.7297,4.0,1.2397134405815837
51.14795,2.73061,3.0,1.3288034289819048
51.14776,2.73089,4.0,1.3576423277217313
51.14686,2.73237,4.0,1.5016929561315742
51.14635,2.7332,4.0,1.5828873673900503
51.14614,2.73358,4.0,1.6182838223395908
51.14597,2.7339,3.0,1.6476116531737897
51.14558,2.73459,3.0,1.7125262475205707
51.14507,2.73551,3.0,1.7983399109416094
51.14495,2.73571,3.0,1.817681746921672
51.14484,2.73589,2.0,1.8352721813720996
51.14479,2.73595,2.0,1.8422415001432484
51.14453,2.73626,3.0,1.8784116832344047
51.1434,2.73753,3.0,2.032368469949326
51.14306,2.7379,3.0,2.078207438249253
51.14299,2.73796,2.0,2.0871112055040846
51.14192,2.73849,3.0,2.211798478932849
51.14151,2.73878,3.0,2.261722788403035
51.14128,2.73895,3.0,2.2899411897044963
51.14093,2.73926,3.0,2.3345151674075737
51.14081,2.7394,3.0,2.3510748908930545
51.14043,2.73997,2.0,2.40920878587888
51.14012,2.74019,2.0,2.4469774619496385
51.1399,2.74034,2.0,2.47360907666491
51.13975,2.74045,2.0,2.491986909407786
51.13936,2.74075,1.0,2.540198351180921
51.13893,2.74112,0.0,2.594604565165766
51.13869,2.74124,0.0,2.6225945241183073
51.13812,2.74184,0.0,2.6986513375344483
51.13794,2.74208,0.0,2.724788669149853
51.13761,2.74243,0.0,2.768923701461235
51.13643,2.7436,2.0,2.923659745548655
51.1363,2.74368,2.0,2.9391684516341248
51.13603,2.74377,2.0,2.9698596109881223
51.13561,2.7439,1.0,3.017473195457834
51.13555,2.74408,1.0,3.0317309711734786
51.13552,2.74422,1.0,3.0420827734613036
51.13546,2.74441,1.0,3.056962665294955
51.13526,2.74496,1.0,3.101426517118627
51.13518,2.74518,1.0,3.119212098057006
51.13516,2.74527,1.0,3.1258929186702376
51.13475,2.74583,2.0,3.1860419307555508
51.13449,2.74625,2.0,3.2272837778942582
51.13439,2.74644,2.0,3.2446224778623725
51.13411,2.74714,3.0,3.302691321256681
51.13404,2.74751,3.0,3.329735067925509
51.13406,2.74755,3.0,3.333311328411267
51.13395,2.74839,2.0,3.393375752535719
51.13389,2.74894,3.0,3.432460442139236
51.13389,2.74934,3.0,3.460458635999519
51.13393,2.75014,3.0,3.5166315435823186
51.13396,2.75104,4.0,3.579723684573764
51.13419,2.75301,4.0,3.7199682626109967
51.1343,2.75387,3.0,3.7814034017853495
51.13431,2.75406,3.0,3.794748876138424
51.13439,2.75407,3.0,3.8036764295328096
51.13443,2.75409,3.0,3.808341461598673
51.13447,2.75413,3.0,3.813598991462418
51.13449,2.75418,3.0,3.817746136611147
51.13462,2.75525,2.0,3.8940304176754923
51.1346,2.75532,2.0,3.899411574840126
51.13456,2.75536,2.0,3.904669099777486
51.1345,2.75536,2.0,3.9113441529770006
51.13427,2.75536,3.0,3.9369513914526353
51.13416,2.75539,3.0,3.9493678399488124
51.13404,2.75543,3.0,3.9630083783502523
51.13392,2.75554,2.0,3.9784520646504924
51.13387,2.75546,2.0,3.986344962121274
51.13383,2.7553,3.0,3.998437390691532
51.13389,2.75526,3.0,4.005675853074749
51.13406,2.75523,3.0,4.024704721050694
51.13413,2.75521,3.0,4.032617107711839
51.13419,2.75515,3.0,4.040503416234671
51.13428,2.75513,3.0,4.050613386236289
51.13432,2.75515,3.0,4.055278419219768
51.1344,2.75513,2.0,4.064343240090979
51.13534,2.75485,3.0,4.170744377560572
51.13561,2.75483,3.0,4.200814728027103
