latitude,longitude,elevation
50.77817,2.81031,147
50.77821,2.81053,149
50.77842,2.81119,150
50.77852,2.81144,151
50.77883,2.81246,154
50.77885,2.81264,155
50.77888,2.81295,153
50.77896,2.81336,156
50.77921,2.81313,153
50.77932,2.81302,149
50.77967,2.81278,145
50.77988,2.81278,144
50.77986,2.81337,146
50.77995,2.81394,146
50.77999,2.8144,146
50.77988,2.81579,140
50.77986,2.81596,140
50.77971,2.81628,139
50.77962,2.81634,134
50.77956,2.81636,135
50.77986,2.81653,133
50.77992,2.81662,132
50.77997,2.81676,131
50.77997,2.81707,130
50.77977,2.81742,126
50.77997,2.81776,123
50.78006,2.81804,116
50.78019,2.81832,108
50.78027,2.81864,105
50.78036,2.81924,96
50.78037,2.81932,96
50.78025,2.81966,91
50.78004,2.81993,93
50.77905,2.82044,96
50.77878,2.82065,92
50.77862,2.82082,92
50.77857,2.82087,92
50.77853,2.82093,92
50.77874,2.82128,91
50.7792,2.82213,86
50.77937,2.82237,81
50.77955,2.82269,80
50.77975,2.82302,77
50.77999,2.82338,76
50.78018,2.8235,74
50.78022,2.82373,74
50.78033,2.82389,71
50.78048,2.82389,71
50.78057,2.82391,71
50.7808,2.82402,71
50.78099,2.82416,70
50.78126,2.82442,69
50.78143,2.82463,69
50.78143,2.82463,69
50.78156,2.82514,68
50.78153,2.82537,67
50.78155,2.82573,66
50.78166,2.82609,66
50.78171,2.82617,65
50.78175,2.82623,65
50.78172,2.82653,64
50.78166,2.82686,64
50.78155,2.82708,64
50.78148,2.82725,62
50.78116,2.82763,62
50.78104,2.82777,62
50.78089,2.82784,64
50.78069,2.82787,64
50.78059,2.82786,65
50.78038,2.82775,65
50.77998,2.82741,67
50.77968,2.82701,68
50.7794,2.8266,68
50.77898,2.82604,72
50.77879,2.82574,73
50.77866,2.82596,73
50.77832,2.8253,76
50.7779,2.82429,79
50.77774,2.824,79
50.77717,2.8231,83
50.77697,2.82284,84
50.77653,2.82254,82
50.77656,2.8223,82
50.77662,2.82191,84
50.77683,2.82101,89
50.7769,2.82077,90
50.77709,2.82018,94
50.77707,2.81934,102
50.77704,2.81924,102
50.77693,2.81896,102
